"duration";"Q_RecaptchaScore";"Q_RelevantIDFraudScore";"gender";"nationality";"ethnicity";"age";"preferred_game_name";"gaming_time";"gaming_related_activities_time";"online_gaming_time";"offline_gaming_time";"playing_esports";"rank";"team_membership";"playing_with_offline_friends";"MOGQ_social1";"MOGQ_social2";"MOGQ_social3";"MOGQ_social4";"MOGQ_escape1";"MOGQ_escape2";"MOGQ_escape3";"MOGQ_escape4";"MOGQ_competition1";"MOGQ_competition2";"MOGQ_competition3";"MOGQ_competition4";"MOGQ_coping1";"MOGQ_coping2";"MOGQ_coping3";"MOGQ_coping4";"IGCQ_1";"IGCQ_2";"IGCQ_3";"IGCQ_4";"attention_check_1";"IGDS9SF_1";"IGDS9SF_2";"IGDS9SF_3";"IGDS9SF_4";"IGDS9SF_5";"IGDS9SF_6";"IGDS9SF_7";"IGDS9SF_8";"IGDS9SF_9";"GDT_1";"GDT_2";"GDT_3";"GDT_4";"IGD_alternative_criterion2";"IGD_alternative_criterion5";"IGD_alternative_criterion6";"IGD_alternative_criterion3";"IGD_alternative_craving";"IGD_alternative_health";"BFRS_1";"BFRS_2";"BFRS_3";"BFRS_4";"BFRS_5";"BFRS_6";"BFRS_7";"BSCS_1";"BSCS_2";"BSCS_3";"BSCS_4";"BSCS_5";"BSCS_6";"BSCS_7";"BSCS_8";"BSCS_9";"BSCS_10";"BSCS_11";"BSCS_12";"BSCS_13";"attention_check_2";"neuroticism_1";"neuroticism_2";"neuroticism_3";"neuroticism_4";"neuroticism_5";"neuroticism_6";"neuroticism_7";"neuroticism_8";"neuroticism_9";"neuroticism_10";"DJGLS_1";"DJGLS_2";"DJGLS_3";"DJGLS_4";"DJGLS_5";"DJGLS_6";"harm_avoidance_1";"harm_avoidance_2";"harm_avoidance_3";"harm_avoidance_4";"harm_avoidance_5";"harm_avoidance_6";"harm_avoidance_7";"harm_avoidance_8";"harm_avoidance_9";"harm_avoidance_10";"BAS_reward_1";"BAS_reward_2";"BAS_reward_3";"BAS_reward_4";"BAS_reward_5";"bot";"long1to3";"long1to4";"long1to5";"mahal1to3";"mahal1to4";"mahal1to5";"ac";"careless"
319;1;0;1;"portuguese";"white";19;"fps";3;1;90;10;1;"silver";0;5;NA;NA;4;3;4;NA;5;NA;5;5;NA;NA;NA;4;2;NA;2;1;1;1;0;1;2;2;1;1;2;2;3;1;1;1;4;1;2;2;4;2;3;2;3;NA;NA;NA;3;3;3;2;NA;3;NA;3;NA;NA;3;NA;4;NA;4;2;0;NA;NA;2;2;2;2;4;NA;NA;NA;4;NA;NA;5;2;NA;NA;NA;4;2;NA;NA;3;NA;1;3;NA;2;2;NA;1;0;4;2;3;8,7258186678573;1,94170843743358;0;0;0
340;1;0;0;"Portuguese";"White";22;"League of Legends";4;5;50;50;1;"Platinum";0;5;NA;2;NA;5;4;NA;NA;4;3;NA;3;NA;NA;2;NA;2;2;3;2;1;0;4;2;2;3;3;2;2;3;1;3;4;3;2;3;4;4;3;3;3;2;2;2;NA;2;NA;NA;2;NA;NA;1;2;NA;1;2;4;NA;NA;NA;4;0;NA;NA;NA;1;1;1;4;NA;4;NA;NA;NA;5;5;1;NA;NA;3;4;NA;NA;NA;NA;5;5;4;1;1;NA;1;NA;0;4;3;3;9,46215876163995;1,95416409459535;0;0;0
332;1;0;0;"chile";"latino";23;"br";2;2;50;50;1;"gold";0;2;2;NA;NA;2;5;NA;NA;2;4;NA;NA;4;NA;3;1;NA;2;2;1;1;0;3;1;2;1;3;3;1;1;3;1;1;2;1;2;2;1;1;1;1;2;2;2;2;NA;NA;NA;4;NA;NA;NA;3;2;NA;4;NA;5;NA;4;3;1;2;NA;1;2;NA;2;NA;NA;NA;4;1;NA;NA;4;1;NA;4;NA;4;2;4;NA;NA;4;NA;NA;NA;1;1;1;NA;0;4;3;4;6,19342265500741;2,48400592269411;0;0;0
376;0,9;0;1;"Canadian";"White";24;"Animal Crossing";5;3;20;80;0;NA;0;3;NA;NA;2;2;3;NA;2;NA;1;1;NA;NA;NA;3;NA;3;2;1;2;1;0;3;3;2;2;3;1;1;4;1;3;3;1;1;3;2;1;2;4;3;3;NA;NA;1;NA;2;2;3;NA;2;NA;NA;NA;1;3;3;NA;NA;3;4;0;NA;3;NA;2;NA;2;NA;2;NA;4;NA;5;NA;5;NA;4;NA;3;5;NA;NA;4;4;NA;2;NA;1;2;NA;1;NA;0;2;1;4;15,8428309658412;2,93346637087738;0;0;0
404;0,9;0;0;"Chilean";"Latino";22;"Legends of Runeterra";11;6;30;70;0;NA;0;4;NA;1;NA;2;3;NA;2;NA;3;4;NA;NA;NA;2;NA;1;1;1;1;1;0;3;1;2;2;1;1;1;2;1;2;2;2;1;1;1;1;2;3;1;3;3;NA;3;NA;3;NA;3;4;3;NA;NA;5;NA;5;NA;1;5;NA;NA;0;4;NA;3;1;NA;4;NA;NA;4;NA;NA;NA;5;5;NA;2;NA;NA;2;NA;NA;3;5;NA;3;2;NA;1;2;NA;1;0;4;1;4;8,99822416422167;2,20302446773777;0;0;0
417;1;0;0;"polish";"white european slavic";26;"indie";3;1;21;79;0;NA;0;2;1;NA;NA;1;3;2;NA;NA;4;4;NA;NA;NA;2;2;NA;1;1;1;2;0;4;1;2;3;4;4;2;3;3;3;4;5;5;2;4;4;2;4;4;2;2;NA;2;NA;NA;3;3;NA;1;2;NA;2;1;3;3;NA;NA;NA;NA;1;NA;2;NA;4;NA;4;NA;3;NA;3;NA;NA;2;4;3;NA;2;NA;4;NA;4;NA;4;2;NA;NA;NA;1;1;NA;1;0;4;3;3;6,59494756236894;2,48611529470469;0;0;0
415;1;0;0;"greek";"greek";29;"League of Legends";3;1;92;8;0;NA;0;5;1;NA;NA;4;4;3;NA;NA;2;NA;NA;2;2;4;NA;NA;1;1;1;1;0;2;2;2;3;2;2;2;3;2;2;1;1;1;2;2;2;2;2;2;3;NA;3;NA;3;NA;3;2;NA;3;NA;NA;NA;1;3;3;3;NA;NA;5;0;4;2;NA;2;2;2;NA;NA;NA;NA;NA;4;NA;4;NA;4;NA;NA;4;4;4;2;NA;4;NA;NA;2;2;2;NA;NA;0;4;3;7;6,81209788868288;1,60234360706829;0;0;0
416;0,9;0;0;"Greek";"Caucasian";26;"Trading Card Games";3;6;100;0;0;NA;0;5;NA;NA;5;2;5;NA;NA;4;2;NA;NA;2;NA;5;NA;3;1;2;2;3;0;3;2;2;2;2;3;1;5;4;2;3;4;4;2;3;4;1;2;4;2;2;NA;NA;2;NA;2;4;3;NA;2;3;3;NA;4;NA;NA;4;NA;NA;0;NA;4;NA;2;3;2;NA;3;NA;NA;NA;5;5;5;NA;NA;NA;NA;5;NA;5;4;NA;NA;4;5;1;2;NA;NA;1;0;4;1;4;7,17588769350894;2,56485314543304;0;0;0
465;1;0;0;"Greek";"Greek";19;"Last Day On Earth";7;6;60;40;0;NA;0;3;1;NA;NA;2;4;2;NA;NA;4;5;NA;NA;3;4;NA;NA;1;1;1;2;0;4;1;4;2;1;3;1;4;1;4;3;4;2;3;1;2;1;3;1;1;1;1;NA;NA;1;NA;3;NA;4;4;3;2;NA;4;NA;NA;NA;2;NA;0;NA;NA;2;1;1;5;NA;NA;NA;2;NA;NA;4;5;4;NA;3;NA;3;3;5;NA;NA;NA;2;NA;NA;2;1;NA;1;0;4;2;3;19,0466840049909;3,86941908695451;0;0;0
491;1;0;0;"israeli";"jewish";18;"Rpg";8;16;30;70;0;NA;0;4;NA;NA;4;2;3;NA;2;NA;2;NA;2;NA;5;5;NA;NA;1;1;1;2;0;3;2;1;1;1;1;1;3;1;1;2;2;1;1;1;1;1;4;1;3;2;NA;NA;NA;3;3;4;5;NA;1;NA;NA;3;2;NA;5;5;NA;NA;0;NA;NA;NA;1;1;1;1;NA;NA;1;5;5;NA;5;NA;NA;5;5;5;NA;NA;NA;NA;NA;5;5;1;1;1;NA;NA;0;3;3;5;6,61084590053421;2,48095224426469;0;0;0
