"duration";"Q_RecaptchaScore";"Q_RelevantIDFraudScore";"gender";"nationality";"ethnicity";"age";"preferred_game_name";"gaming_time";"gaming_related_activities_time";"online_gaming_time";"offline_gaming_time";"playing_esports";"rank";"team_membership";"playing_with_offline_friends";"MOGQ_social1";"MOGQ_social2";"MOGQ_social3";"MOGQ_social4";"MOGQ_escape1";"MOGQ_escape2";"MOGQ_escape3";"MOGQ_escape4";"MOGQ_competition1";"MOGQ_competition2";"MOGQ_competition3";"MOGQ_competition4";"MOGQ_coping1";"MOGQ_coping2";"MOGQ_coping3";"MOGQ_coping4";"IGCQ_1";"IGCQ_2";"IGCQ_3";"IGCQ_4";"attention_check_1";"IGDS9SF_1";"IGDS9SF_2";"IGDS9SF_3";"IGDS9SF_4";"IGDS9SF_5";"IGDS9SF_6";"IGDS9SF_7";"IGDS9SF_8";"IGDS9SF_9";"GDT_1";"GDT_2";"GDT_3";"GDT_4";"IGD_alternative_criterion2";"IGD_alternative_criterion5";"IGD_alternative_criterion6";"IGD_alternative_criterion3";"IGD_alternative_craving";"IGD_alternative_health";"BFRS_1";"BFRS_2";"BFRS_3";"BFRS_4";"BFRS_5";"BFRS_6";"BFRS_7";"BSCS_1";"BSCS_2";"BSCS_3";"BSCS_4";"BSCS_5";"BSCS_6";"BSCS_7";"BSCS_8";"BSCS_9";"BSCS_10";"BSCS_11";"BSCS_12";"BSCS_13";"attention_check_2";"neuroticism_1";"neuroticism_2";"neuroticism_3";"neuroticism_4";"neuroticism_5";"neuroticism_6";"neuroticism_7";"neuroticism_8";"neuroticism_9";"neuroticism_10";"DJGLS_1";"DJGLS_2";"DJGLS_3";"DJGLS_4";"DJGLS_5";"DJGLS_6";"harm_avoidance_1";"harm_avoidance_2";"harm_avoidance_3";"harm_avoidance_4";"harm_avoidance_5";"harm_avoidance_6";"harm_avoidance_7";"harm_avoidance_8";"harm_avoidance_9";"harm_avoidance_10";"BAS_reward_1";"BAS_reward_2";"BAS_reward_3";"BAS_reward_4";"BAS_reward_5"
373;1;0;0;"English";"White";21;"Rocket League";2;2;55;45;0;NA;0;5;1;NA;NA;2;3;NA;4;NA;5;NA;4;NA;2;2;NA;NA;1;1;1;1;1;1;1;4;1;1;1;3;2;2;1;3;1;1;1;2;1;1;3;2;2;2;NA;3;NA;3;NA;3;NA;NA;4;NA;NA;4;2;5;NA;3;NA;3;1;NA;NA;NA;1;4;4;4;NA;NA;4;4;NA;NA;1;NA;5;4;NA;5;2;NA;NA;2;2;NA;NA;1;1;NA;NA;1
364;1;0;1;"Portuguese";"White";23;"Minecraft";5;8;70;30;0;NA;0;5;NA;3;NA;5;5;4;NA;NA;2;NA;1;NA;NA;5;NA;4;1;2;1;2;1;2;3;2;3;2;1;1;4;1;1;3;1;1;3;2;1;2;4;1;2;NA;NA;2;2;NA;2;3;2;NA;NA;2;4;4;2;NA;2;NA;NA;NA;1;NA;1;NA;4;NA;2;NA;5;NA;5;NA;NA;1;1;NA;4;NA;2;5;NA;1;2;NA;NA;3;NA;1;2;1;NA;NA
373;1;0;1;"Belgian";"White";22;"Overwatch";1;5;90;10;0;NA;0;4;4;NA;NA;4;2;NA;2;NA;4;5;NA;NA;4;4;NA;NA;1;1;1;2;1;2;1;1;1;1;1;1;3;1;1;2;2;1;2;1;1;2;3;1;3;2;3;NA;NA;3;NA;2;1;NA;1;2;4;NA;2;NA;4;NA;NA;NA;1;NA;NA;1;1;2;5;4;NA;NA;NA;NA;2;NA;2;4;NA;NA;4;4;NA;NA;NA;NA;2;2;1;NA;2;NA;2;1
490;0,9;0;0;"Portuguese";"White";23;"Valorant";1;5;92;8;0;NA;0;3;NA;1;NA;3;4;4;NA;NA;3;NA;NA;4;NA;4;NA;4;1;2;1;3;1;3;2;3;4;2;3;1;4;3;3;3;4;2;1;2;1;3;4;2;2;1;2;2;NA;NA;NA;3;NA;3;NA;NA;NA;NA;4;3;NA;4;3;4;1;3;NA;NA;1;2;1;NA;NA;3;NA;NA;3;NA;3;2;NA;2;NA;3;3;NA;2;3;NA;NA;NA;NA;1;1;NA;1
429;1;0;0;"Greek";"Greek";31;"Legends Of Runeterra";4;2;50;50;1;"Platinum";0;4;NA;1;NA;3;2;1;NA;NA;4;NA;NA;4;NA;3;NA;2;1;1;2;2;1;3;1;3;1;3;2;1;2;1;2;3;2;1;1;2;1;2;3;2;2;NA;NA;NA;2;3;2;4;NA;3;4;NA;NA;NA;4;2;NA;NA;2;2;1;NA;NA;NA;1;NA;3;5;NA;4;4;NA;4;4;3;NA;NA;3;NA;1;2;NA;NA;3;3;NA;NA;1;2;NA;2;NA
489;1;0;0;"Portuguese";"White";20;"Gran Turismo Sport";7;10;75;25;0;NA;0;4;NA;5;NA;2;2;NA;2;NA;4;NA;NA;1;4;4;NA;NA;1;2;1;1;1;1;2;2;3;2;3;1;4;1;2;1;1;1;1;1;3;2;3;2;3;NA;3;3;3;NA;NA;4;3;NA;NA;NA;4;5;3;NA;NA;4;NA;3;1;NA;1;2;2;NA;4;NA;NA;3;NA;5;NA;NA;1;NA;5;NA;3;4;NA;1;NA;NA;NA;4;2;NA;1;1;1;NA
589;1;0;0;"Polish";"Poles";24;"League of Legends";3;3;50;50;0;NA;0;5;NA;NA;2;2;3;NA;NA;3;4;4;NA;NA;NA;4;NA;4;1;1;2;2;1;3;2;3;2;2;2;2;2;1;2;2;3;1;2;2;2;2;3;1;2;2;2;NA;NA;NA;2;3;3;4;4;NA;NA;NA;2;NA;1;3;NA;NA;1;NA;3;NA;3;3;3;NA;3;NA;NA;3;NA;NA;3;NA;3;NA;NA;3;3;3;4;3;NA;NA;NA;2;2;NA;NA;2
652;1;0;0;"Poland";"White";19;"FPS, RPG";6;1;70;30;0;NA;0;5;NA;NA;1;1;3;NA;NA;3;3;4;NA;NA;NA;2;1;NA;1;1;1;2;1;2;2;2;3;2;3;1;2;3;4;3;3;4;3;2;2;2;2;4;2;NA;NA;3;3;2;NA;4;3;NA;NA;4;3;5;2;NA;1;NA;NA;NA;1;NA;NA;1;3;NA;2;3;NA;1;NA;NA;2;1;2;NA;NA;1;NA;4;NA;NA;3;NA;4;NA;4;NA;1;NA;1;1
527;1;0;0;"Portuguese";"White";20;"Racing";2;2;33;67;0;NA;0;4;NA;NA;1;2;2;3;NA;NA;2;NA;2;NA;NA;3;3;NA;1;1;1;1;1;2;2;2;2;2;2;2;3;3;3;2;3;2;2;2;2;2;3;1;2;1;2;NA;NA;NA;2;3;NA;NA;NA;2;NA;NA;3;2;NA;3;4;2;1;2;NA;4;3;NA;3;NA;NA;NA;2;NA;NA;NA;4;2;3;NA;NA;3;2;4;4;NA;NA;NA;4;NA;2;2;NA;2
190;0,8;0;0;"French";"White";19;"CS:GO";6;3;84;16;1;"Guardian";0;4;NA;4;NA;2;3;NA;NA;4;2;3;NA;NA;NA;2;2;NA;1;1;2;3;0;4;4;2;3;2;4;2;2;4;3;4;3;2;2;2;1;2;2;2;2;1;1;NA;NA;1;NA;3;1;NA;NA;NA;2;NA;2;4;2;NA;NA;3;1;NA;1;NA;2;2;1;NA;NA;1;NA;1;4;NA;2;NA;NA;1;NA;3;NA;NA;1;NA;1;2;NA;3;2;2;NA;NA
385;0,8;25;0;"Czech";"White";24;"RPG";2;1;90;10;0;NA;0;1;1;NA;NA;2;2;4;NA;NA;1;NA;NA;1;3;4;NA;NA;2;1;1;2;1;3;3;3;5;3;5;2;3;2;5;3;5;3;2;3;4;3;2;2;3;2;NA;NA;NA;3;3;2;NA;NA;4;4;NA;NA;3;NA;5;3;5;NA;1;NA;4;3;4;NA;3;NA;1;NA;NA;NA;NA;4;5;2;NA;NA;5;4;NA;1;NA;1;NA;3;NA;3;3;NA;3;NA
